HolderAddress,Balance
0x001e4993fccc26c41a754161d13bc14d1e79dc53,44957415788331522867981362
0x00397a1746bead6c1b74a917a2d168c9d1db148c,116959521417894367343140228
0x003a47ffe3471506de3002b26ae5aaf81d7adb70,19981073483892160855855526
0x00fbb882a2be10f2eb0ca5b3b2b34beef4625459,329458973085947765610910105099
0x0000606ec42c2f4673b8a0e12c59451bfdcd8502,0
0x014f6c2e54585e8e9b19a36e2507ac3e9499bf99,313415305706065465725259395
0x008caeeae670c16ec6f52a83c2f1e8016fd44e4a,36766406812964289418142432664
0x00025460df99115b411eb8ee841d05a8533f6e15,458551155896941214242842239
0x016f3589441ec886d585f1259fec29ce4d140c8f,15276909961834143547712901859
0x016a04a6c02697ab0bfd949b6c473406823a33c7,5076251676192701116231383133
0x01a883829c23b93305796e8291fc90bb81b101d9,301861396141907990
0x01860f5c89a429842c361e015e05296fe4c5b24f,137749521975447791599081720151
0x01cf8dc2e206739dc4a794a485410c95d18b3ff3,999054483428092382978048
0x009ad16e1012df1398e410185b637b86ff3cb32a,538617934134189418096326811
0x01052e015813d447b73472301fc1504ee0e1d70d,7545985350790396865585239821
0x010e096eb0e5a30c011c1838fbe9f2fd2e6dc816,266817787868495116495969047
0x0151eea71aad7951d89df1dfe103e61276b953b6,4495741578833152109
0x01d05bf415a41cf99edac6378d0961698a2b0ff2,9135886377178426392075529
0x01b63704cc5d4dba89905ee7f4487bfd8cdbf179,578336933684168610001155500
0x016fa2c3d8dbb18fe6eabb09831c84d898100591,157686174835096138170397371
0x01a9741a8f699204ed17fb9f772c52d8b6998713,102220401890620198375328388
0x01a11a9274673bb2beab1a7c9a5e8e117e2633d2,7091280040793
0x02163d1e0ae2aa30725c0dc2ed0370d35bbef5c4,946277040797710630894110674
0x021ccab7d6283963368691c7a4f6569d61b2b3fa,14663752461
0x01e4e14e19e713aae1a6968406edfd16293daa48,447944018785663225046598182
0x01dbb9bc206941bcbdfa3d787c8c64627de801b3,62397810548140285174755065
0x01f7c3f7b0f29be4679f6c7482ba6b336e6f1e93,48369288773741393013050945
0x022c6aa8e95fd6a0f19ab62cfb00bf35b2f87702,269744494729989107784554001
0x0235b05cc9a85cf6891e04b47001e6bb90dcadb9,98906314734329353251892415
0x022b41da2170851993a6a19a9b727374cff8e4f7,417036318505471865175249008
0x0235f8e3d6a51087fbaec075daa692c0ad6b09d6,2013391826745202783929929252
0x01f78c0cb92ddcd2c588f0d5e7e9bac3a467de30,17865710474676672316900599165
0x0264961436e469c7e8aad1844a560d0c209f2752,137394284783864309442884808
0x035ab328f632a44b1484fb233aa5c0a473933040,1212015657243915698929611785
0x02aa91263685e5ddd961c9566fd98320140974e3,236945133184633484924646251
0x028485f9aea0a2efbb678ba14c43a4519fd39966,220091109952765393982052537232
0x02d65a60ee67f770f2b3e95482c7dadabd11cdd9,71931865261330445415770432
0x0337a5b5f628383891d4fa4fbdd3aeae8020a755,539340095381406305251785130
0x028ad85fdd0725a219fe9c748bf7ea9748ec342e,493965842850240872174561306
0x03423e8b6d1a8a428ce5b82ea0a24a67a8309ff3,1236514316856943743619657048
0x0308aeeaac0e62b947e96e5b0ed9365ee4b4904c,387974194502957583182654196
0x02b8136d83d9aa66a9d18a026d3512d8e855413d,115473963156004766110592433
0x03cdbf5fd78dc4cc9e71060be63d5b5a9de3c502,129601886898859241259100218
0x039f4981de85e9f5bfc36893afac51e40592f2ae,45163909540148975017378198592
0x03638f7503bb7028ce06d821a6e998098b89f47c,318530815832583440957134369
0x03bd77990f28a2393792fa111e553f4665121c88,81289863185710055095859
0x03866098184636465c2544f7d9e06ca23003b921,8991483157666304218
0x037b6fc637d8d3d4829aa051fc1fea2eb2e5ace9,13015032502752444106714323
0x037d017dfdbd5e48e4c17fc053eeda3a7ff21e09,81129618613685903690077988
0x03ca1e89731e25c2d618e6a81d61885c8d854f20,241778471715232962304591192
0x0369756870e6be0ebe8b06b012a51545a2415963,7123601979249
0x03d556e30715b2e87064346a48f472fe53ad6eec,102905460519303259851529060
0x03f6158ba792bd78eb285820c31fae6b4c186e46,5826576281654881386031047723
0x03f16951cc21ace6614e0d4d23259a27f477822a,265960540281758569619829658
0x041764e0607abd62d4a3ba3b4a7a6de3f7101e9c,125236074864923602045101340872
0x042da41e0238258b5369afeef51588e9a41db462,207330074352427701684189588
0x041a77a4617c2f8452d00926e54cb260723b123e,2255770896876661919800082234
0x03ffae3f08394078264d255351b07c4375b43d31,187830131490096049539271276
0x042110ab8e69aad800e4df08873399cc7e4b0bc7,863589266585470865271569888
0x03eadf344f791284c3044d8afea18fbd6fad7176,36370604667141150203985664984
0x0408c0acf165d811b3c07ab29dcf973c40c31c5b,220091109952765393982052537232
0x03dc171863a6f79cf8a958a4d7263afe29fb242c,47675029696232658573491769
0x0460e5b1fa472dbb02b8d99e1743351e6975c80a,23140184806736121917131836
0x04a30605fa3b311475d64ad17de8fd185dad1987,428172252005885559201475297
0x04566cdbc59d13c1c972ec0d0e83788239984483,210910625487339223243356983
0x04429a0df04c80f61742bc7e765514014cadc7c2,103019261001542848408650750
0x0447e3f5ac3652733f44e0e629c9d3dab8cf906a,904714043841225820032812061
0x043f3a503be281e6720ae1d347fd86e4081fd4d4,1519936180426076840690716629
